i,j,val
11,15,        0.3717766995
11,16,       -0.0000000000
11,17,       -0.0000000000
11,18,        0.0000000000
11,19,        0.0000000000
11,20,       -0.0000000000
11,21,        0.0000000000
12,1,       -0.0129410662
12,2,       -0.0000184490
12,3,        0.0579221838
12,4,        0.1325205397
12,5,       -0.0179262405
12,6,        0.0089631203
12,7,       -0.1595292060
12,8,       -0.3156384490
12,9,       -0.0000000000
12,10,        0.0000000000
12,11,        0.0000000000
12,12,        0.3005756256
12,13,        0.0000000000
12,14,        0.0000000000
12,15,        0.0000000000
12,16,        0.2903436437
12,17,        0.2903436437
12,18,        0.2903436437
12,19,        0.0000000000
12,20,        0.0000000000
12,21,        0.0000000000
13,1,        0.0061236466
13,2,       -0.0077729666
13,3,       -0.1694283169
13,4,       -0.2867412253
13,5,        0.0501891889
13,6,       -0.0250945944
13,7,       -0.0000000000
13,8,       -0.0000000000
13,9,        0.3717766995
13,10,        0.0000000000
13,11,       -0.0000000000
13,12,        0.0000000000
13,13,        0.7030910292
13,14,        0.0000000000
13,15,        0.0000000000
13,16,        0.0000000000
13,17,        0.0000000000
13,18,        0.0000000000
13,19,        0.0000000000
13,20,       -0.0000000000
13,21,        0.0000000000
14,1,        0.0000000000
14,2,        0.0010514602
14,3,        0.0229188077
14,4,        0.0501891889
14,5,        0.0774954493
14,6,        0.0033945812
14,7,        0.0000000000
14,8,        0.0000000000
14,9,        0.0000000000
14,10,        0.3717766995
14,11,        0.0000000000
14,12,        0.0000000000
14,13,        0.0000000000
14,14,        0.7030910292
14,15,        0.0000000000
14,16,        0.0000000000
14,17,        0.0000000000
14,18,        0.0000000000
14,19,        0.0000000000
14,20,        0.0000000000
14,21,       -0.0000000000
15,1,        0.0002395190
15,2,       -0.0005257301
15,3,       -0.0114594038
15,4,       -0.0250945944
15,5,        0.0033945812
15,6,        0.0825873211
15,7,       -0.0000000000
15,8,       -0.0000000000
15,9,       -0.0000000000
15,10,        0.0000000000
15,11,        0.3717766995
15,12,        0.0000000000
15,13,        0.0000000000
15,14,        0.0000000000
15,15,        0.7030910292
15,16,       -0.0000000000
15,17,       -0.0000000000
15,18,        0.0000000000
15,19,        0.0000000000
15,20,        0.0000000000
15,21,        0.0000000000
16,1,       -0.0144068701
16,2,       -0.0366621754
16,3,        0.1406328868
16,4,        0.4080817336
16,5,       -0.0786700676
16,6,        0.0393350338
16,7,       -0.1318739615
16,8,       -0.3797957463
16,9,       -0.0000000000
16,10,        0.0000000000
16,11,       -0.0000000000
16,12,        0.2903436437
16,13,        0.0000000000
16,14,        0.0000000000
16,15,       -0.0000000000
16,16,        1.1916666667
16,17,       -0.0916666667
16,18,       -0.0916666667
16,19,        0.0000000000
16,20,        0.0000000000
16,21,        0.0000000000
17,1,       -0.0082436173
17,2,       -0.0104762152
17,3,       -0.0261266772
17,4,        0.0053346680
17,5,        0.0227466472
17,6,        0.0003608140
17,7,       -0.1318739615
17,8,       -0.3797957463
17,9,       -0.0000000000
17,10,        0.0000000000
17,11,       -0.0000000000
17,12,        0.2903436437
17,13,        0.0000000000
