i,j,val
11,12,        0.0053714816
11,13,       -0.0018683381
11,14,        0.0002478623
11,15,       -5.1087857886
11,16,        0.0028851022
11,17,        0.0021988361
11,18,        0.0065617547
11,19,       -0.0001618734
11,20,        0.0574371272
11,21,       -0.0073299219
12,1,       -0.8157921629
12,2,       -1.1542723750
12,3,       -4.6998532341
12,4,       -4.3716394351
12,5,        0.6010387204
12,6,       -0.2977201289
12,7,       -1.3529580616
12,8,       -5.5287786172
12,9,        0.0812825018
12,10,       -0.0103970577
12,11,        0.0053714816
12,12,      -10.6890526348
12,13,        0.8359096615
12,14,       -0.1063675454
12,15,        0.0551231438
12,16,       -8.1333135590
12,17,       -7.7562692773
12,18,       -7.7512020451
12,19,        0.0868525854
12,20,       -0.0443160094
12,21,        0.0058743359
13,1,        1.1584492576
13,2,        1.9276162471
13,3,        5.4916071413
13,4,        4.0713265760
13,5,       -0.8972994466
13,6,        0.4445475360
13,7,        0.0011281687
13,8,        0.0776354302
13,9,       -5.1366721793
13,10,        0.0036646662
13,11,       -0.0018683381
13,12,        0.8359096615
13,13,      -10.7003225303
13,14,        0.0787284001
13,15,       -0.0403201944
13,16,        1.1464797048
13,17,        0.2763253881
13,18,        0.2718295187
13,19,       -0.1362234848
13,20,        0.0697670224
13,21,       -0.0052039920
14,1,       -0.0213847693
14,2,       -0.2605656165
14,3,       -0.7373204798
14,4,       -0.8817408095
14,5,       -2.3367954346
14,6,       -0.0598589586
14,7,       -0.0001443070
14,8,       -0.0099305512
14,9,        0.0036646662
14,10,       -5.1091561737
14,11,        0.0002478623
14,12,       -0.1063675454
14,13,        0.0787284001
14,14,      -10.1045276280
14,15,        0.0053248509
14,16,       -0.0786486656
14,17,       -0.1034922802
14,18,       -0.0344296890
14,19,        0.4786096116
14,20,       -0.0052039920
14,21,        0.0315166733
15,1,        0.0498203109
15,2,        0.1303365194
15,3,        0.3702612579
15,4,        0.4412670045
15,5,       -0.0604675159
15,6,       -2.4271125038
15,7,        0.0000745540
15,8,        0.0051304681
15,9,       -0.0018683381
15,10,        0.0002478623
15,11,       -5.1087857886
15,12,        0.0551231438
15,13,       -0.0403201944
15,14,        0.0053248509
15,15,      -10.0965777442
15,16,        0.0402800092
15,17,        0.0181961598
15,18,        0.0534712337
15,19,       -0.0052039920
15,20,        0.4708225373
15,21,       -0.0596339706
16,1,       -0.6058704104
16,2,       -1.4607342586
16,3,       -4.9190248651
16,4,       -5.5295676536
16,5,        1.1352401827
16,6,       -0.5660105596
16,7,       -0.2728949094
16,8,       -3.3450850328
16,9,        0.1097627642
16,10,       -0.0056073914
16,11,        0.0028851022
16,12,       -8.1333135590
16,13,        1.1464797048
16,14,       -0.0786486656
16,15,        0.0402800092
16,16,      -11.1300709582
16,17,       -4.0417620924
16,18,       -4.0375800992
16,19,        0.1112009133
16,20,       -0.0565220155
16,21,        0.0048401731
17,1,       -0.1783885848
17,2,       -0.0510414591
17,3,       -1.9423375258
17,4,       -2.6083720159
17,5,       -0.0266238435
17,6,       -0.1765808565
17,7,       -0.2728606081
17,8,       -3.3263051854
17,9,        0.0333012137
17,10,       -0.0127021183
17,11,        0.0021988361
17,12,       -7.7562692773
17,13,        0.2763253881
17,14,       -0.1034922802
17,15,        0.0181961598
17,16,       -4.0417620924
17,17,      -10.3865682285
17,18,       -3.9499167839
17,19,        0.0604045915
17,20,       -0.0106286118
17,21,        0.0040855072
18,1,       -0.1782656677
18,2,       -0.0313617846
18,3,       -1.9011851469
18,4,       -2.5286430026
18,5,        0.3427953799
18,6,        0.0193514376
18,7,       -0.2728601463
18,8,       -3.3260523952
18,9,        0.0331613409
18,10,       -0.0042319324
18,11,        0.0065617547
18,12,       -7.7512020451
18,13,        0.2718295187
18,14,       -0.0344296890
18,15,        0.0534712337
18,16,       -4.0375800992
18,17,       -3.9499167839
18,18,      -10.3795667971
18,19,        0.0200559627
18,20,       -0.0305842485
