i,j,val
25,25,       -2.3910263891
26,1,        0.0264927126
26,2,       -0.0244695336
26,4,        0.0165168725
26,13,        0.0168691358
26,26,       -7.1514192364
26,27,        0.0465900123
26,28,        0.0264484910
26,29,        0.0274048466
26,32,       -0.0183657070
26,43,        0.0420218569
27,1,        0.0114791316
27,2,       -0.0043816482
27,3,       -0.0173025731
27,5,        0.0165168725
27,14,        0.0168691358
27,26,        0.0465900123
27,27,       -5.3746305101
27,28,       -0.1861074634
27,29,        0.0102433001
27,30,        0.0193781529
27,33,       -0.0183657070
27,44,        0.0420218569
28,1,        0.0098588469
28,3,       -0.0061965864
28,6,        0.0165168725
28,15,        0.0168691358
28,26,        0.0264484910
28,27,       -0.1861074634
28,28,       -2.3741572533
28,30,        0.0144862140
28,34,       -0.0183657070
28,45,        0.0420218569
29,1,        0.0000001826
29,2,       -0.0103146500
29,3,        0.0038804290
29,4,       -0.0413989346
29,5,        0.0006886603
29,13,        0.0274048466
29,14,        0.0102433001
29,26,        0.0274048466
29,27,        0.0102433001
29,29,       -7.6354862894
29,30,        0.0162841226
29,31,       -0.0078763329
29,32,       -0.1413315138
29,33,       -0.0046843332
29,34,       -0.0039801771
29,43,        0.0579601839
29,44,        0.0325147814
29,45,       -0.0189252588
30,1,       -0.0000000159
30,2,       -0.0104975093
30,3,       -0.0064400574
30,5,       -0.0292734674
30,6,        0.0009739128
30,14,        0.0193781529
30,15,        0.0144862140
30,27,        0.0193781529
30,28,        0.0144862140
30,29,        0.0162841226
30,30,       -5.7263748704
30,31,       -0.0611559162
30,32,       -0.0115194641
30,33,       -0.0332329054
30,34,        0.0451857458
30,43,        0.0082364774
30,44,       -0.0171274777
30,45,        0.1878520960
31,1,       -0.0124516598
31,2,        0.0040817373
31,3,       -0.0015524592
31,4,       -0.0169246185
31,5,        0.0447911758
31,6,        0.0044729587
31,29,       -0.0078763329
31,30,       -0.0611559162
31,31,       -5.0313887196
31,32,       -0.0069160986
31,33,        0.1113956802
31,34,        0.0069160986
31,43,        0.0044729587
31,44,       -0.0447911758
