 a,i,j,val
1,1,1       -0.4181174837
1,1,2       -0.2528401048
1,2,1       -0.2528401048
1,2,2       -0.7050698594
2,1,1       -0.4008768144
2,1,2       -0.2353825821
2,2,1       -0.2353825821
2,2,2       -0.6369316311
3,1,1       -0.3833264511
3,1,2       -0.2188999087
3,2,1       -0.2188999087
3,2,2       -0.5771310402
