i,j,val
10,31,       -0.0016311248
10,32,        0.0006009683
10,45,       -0.0032181125
10,47,       -0.0076035352
10,48,       -0.0027869672
10,49,       -0.0016090563
10,50,       -0.0013246859
11,1,        0.0170894222
11,2,        0.0079352880
11,3,        0.0235344901
11,6,        0.0203576318
11,7,        0.0295997475
11,8,        0.0349861988
11,9,        0.0079352880
11,11,     -104.8168407353
11,12,        0.0422900805
11,13,        0.0431676863
11,14,        0.0203576318
11,15,        0.0209035693
11,16,        0.0170894222
11,17,        0.0179598159
11,33,        0.0051323102
11,38,        0.0076035352
11,46,        0.0032181125
11,51,        0.0013246859
11,52,        0.0015600549
12,1,        0.1697392576
12,4,        0.0235344901
12,6,       -0.0287574674
12,7,       -0.2347975232
12,8,       -0.0834847922
12,11,        0.0422900805
12,12,     -104.7198435484
12,13,        0.0431676863
12,14,       -0.0402308821
12,16,        0.1697392576
12,18,        0.0179598159
12,24,        0.0155862592
12,29,        0.0050824112
12,34,        0.0051323102
12,35,       -0.0133275094
12,36,       -0.0103028208
12,39,        0.0076035352
12,51,        0.0013246859
12,53,        0.0015600549
13,1,        0.0179598159
13,5,        0.0235344901
13,6,        0.0209035693
13,10,       -0.0079352880
13,11,        0.0431676863
13,12,        0.0431676863
13,13,     -104.7765289480
13,15,       -0.0472202882
13,17,        0.1697392576
13,18,        0.0170894222
13,19,        0.0029591397
13,24,       -0.0022587498
13,29,       -0.0026122299
13,33,       -0.0012019366
13,34,       -0.0012019366
13,40,        0.0076035352
13,47,       -0.0032181125
13,52,        0.0013246859
13,53,        0.0013246859
14,2,        0.1697392576
14,4,       -0.0079352880
14,6,       -0.2540314043
14,7,        0.0671151618
14,8,        0.0263266130
14,9,       -0.2450830159
14,11,        0.0203576318
14,12,       -0.0402308821
14,14,     -103.3873879759
14,15,        0.0431676863
14,16,       -0.1713309506
14,18,       -0.0209035693
14,25,        0.0127261273
14,26,        0.0089987309
14,31,        0.0050824112
14,34,       -0.0160393020
14,35,        0.0095811261
14,36,        0.0096927421
14,37,       -0.0166933721
14,41,        0.0076035352
14,51,       -0.0032181125
14,54,        0.0015600549
15,2,        0.0179598159
15,5,       -0.0079352880
15,7,        0.0181030220
15,8,        0.0104517846
15,10,        0.0431272327
15,11,        0.0209035693
15,13,       -0.0472202882
15,14,        0.0431676863
15,15,     -103.4405382847
15,17,       -0.1783203566
15,18,       -0.0203576318
15,20,        0.0025626902
15,21,        0.0014795698
15,25,       -0.0018442615
15,26,       -0.0013040898
15,31,       -0.0026122299
15,33,       -0.0032622497
15,35,       -0.0010409077
15,36,       -0.0006009683
15,42,        0.0076035352
15,48,       -0.0027869672
15,49,       -0.0016090563
15,52,       -0.0032181125
15,54,        0.0013246859
16,3,        0.1697392576
16,4,        0.0170894222
16,7,       -0.2051977757
16,8,       -0.1526498354
16,9,        0.1713309506
16,11,        0.0170894222
16,12,        0.1697392576
16,14,       -0.1713309506
16,16,     -102.2956688930
16,17,        0.0431676863
16,18,        0.0431676863
16,28,        0.0155862592
16,32,        0.0050824112
16,35,       -0.0155862592
16,36,       -0.0050824112
16,37,        0.0211554290
16,43,        0.0076035352
16,51,        0.0076035352
16,55,        0.0015600549
17,3,        0.0179598159
17,5,        0.0170894222
17,9,        0.0209035693
17,10,       -0.0203576318
17,11,        0.0179598159
17,13,        0.1697392576
17,15,       -0.1783203566
17,16,        0.0431676863
17,17,     -102.3452841108
17,18,        0.0422900805
17,22,        0.0029591397
17,28,       -0.0022587498
17,32,       -0.0026122299
17,33,        0.0029591397
17,37,       -0.0012019366
17,44,        0.0076035352
17,50,       -0.0032181125
17,52,        0.0076035352
17,55,        0.0013246859
18,4,        0.0179598159
18,5,        0.1697392576
18,10,       -0.1783203566
18,12,        0.0179598159
18,13,        0.0170894222
18,14,       -0.0209035693
18,15,       -0.0203576318
18,16,        0.0431676863
18,17,        0.0422900805
18,18,     -102.3452841108
18,23,        0.0029591397
18,34,        0.0029591397
18,35,        0.0022587498
18,36,        0.0026122299
18,37,       -0.0012019366
18,45,        0.0076035352
18,53,        0.0076035352
18,54,        0.0032181125
18,55,        0.0013246859
19,1,       -0.0108908086
19,2,       -0.0160393020
19,5,        0.0029591397
19,6,        0.0160393020
19,13,        0.0029591397
19,19,     -106.7266072079
19,20,       -0.1151937516
19,21,       -0.0906288253
19,22,        0.1697392576
19,23,        0.0170894222
19,24,        0.1151937516
19,25,       -0.1675432823
19,26,       -0.1441051243
19,27,       -0.0147998737
19,29,        0.0906288253
19,30,       -0.0147998737
19,31,       -0.1270157021
19,33,        0.0170894222
19,34,        0.1697392576
19,38,        0.0012019366
19,39,        0.0012019366
19,40,        0.0217004989
19,42,       -0.0166933721
19,47,        0.0166933721
20,1,       -0.0133275094
20,2,       -0.0042953018
20,3,       -0.0155862592
20,5,        0.0022587498
20,7,        0.0115399366
20,8,        0.0077931296
20,15,        0.0025626902
20,19,       -0.1151937516
20,20,     -105.4315520367
20,21,        0.1316486878
20,22,       -0.2496197306
20,23,       -0.0176302263
20,24,       -0.1773028093
20,25,        0.1852200646
20,26,        0.0381216236
20,27,        0.0663015576
20,28,       -0.1947959087
20,29,       -0.1173987616
20,30,        0.0716052891
20,31,        0.1244967946
20,32,       -0.1025988879
20,33,        0.0068721610
20,35,        0.1697392576
20,38,        0.0022587498
20,40,       -0.0155862592
20,41,        0.0010409077
20,42,        0.0275331962
20,44,       -0.0133275094
20,48,        0.0128460515
20,49,        0.0066637547
21,1,       -0.0103028208
21,2,        0.0016811827
21,3,       -0.0050824112
21,5,        0.0026122299
21,7,        0.0077931296
21,8,        0.0025412056
21,15,        0.0014795698
21,19,       -0.0906288253
21,20,        0.1316486878
21,21,     -105.5205934078
21,22,       -0.1199963368
21,23,       -0.0101788159
21,24,       -0.1173987616
21,26,        0.1794522509
21,27,       -0.1040796011
21,28,       -0.1025988879
21,29,       -0.0417423961
21,30,       -0.1132659336
21,31,        0.0656670860
21,32,       -0.0763249177
21,33,        0.0039676440
21,36,        0.1697392576
21,38,        0.0026122299
21,40,       -0.0050824112
21,41,        0.0006009683
21,42,        0.0117352219
21,44,       -0.0103028208
21,48,        0.0066637547
21,49,        0.0051514104
22,2,       -0.0166933721
22,3,        0.0051323102
22,5,       -0.0012019366
22,9,        0.0160393020
22,17,        0.0029591397
22,19,        0.1697392576
22,20,       -0.2496197306
22,21,       -0.1199963368
22,22,     -104.1937318246
22,23,        0.0422900805
22,25,       -0.1917113749
22,26,       -0.0965036975
22,27,        0.0225494053
22,28,        0.2884754046
22,30,        0.0225494053
22,31,       -0.1225415080
22,32,        0.1906730343
22,33,        0.0235344901
22,37,        0.1697392576
22,38,       -0.0029591397
22,42,       -0.0160393020
22,43,        0.0012019366
22,44,        0.0377236177
22,50,        0.0166933721
23,4,        0.0051323102
23,5,       -0.0012019366
23,10,       -0.0032622497
23,18,        0.0029591397
23,19,        0.0170894222
23,20,       -0.0176302263
23,21,       -0.0101788159
23,22,        0.0422900805
23,23,     -104.2907290115
23,24,       -0.0068721610
23,25,        0.0241680926
23,26,        0.0305120047
23,27,        0.0077495316
23,28,       -0.0176302263
23,29,       -0.0039676440
23,30,        0.0077495316
23,31,        0.0215636163
23,32,       -0.0101788159
23,34,        0.0235344901
