I,J,i,j,val
        20,        22,5,         8,        1.2247448714
        19,        21,5,         8,        0.7071067812
        21,        22,5,         8,        0.7071067812
        19,        20,5,         8,        1.2247448714
         8,         8,5,         5,        1.0000000000
         7,         7,5,         5,        1.0000000000
         6,         6,5,         5,        2.0000000000
         7,         9,5,         8,        1.2247448714
         6,         8,5,         8,        0.7071067812
         8,         9,5,         8,        0.7071067812
         6,         7,5,         8,        1.2247448714
         2,         2,5,         5,        1.0000000000
         1,         1,5,         5,        2.0000000000
         2,         3,5,         8,        1.4142135624
         1,         2,5,         8,        1.4142135624
        50,        50,4,         4,        1.0000000000
        49,        49,4,         4,        1.0000000000
        48,        48,4,         4,        1.0000000000
        47,        47,4,         4,        1.0000000000
        10,        10,4,         4,        1.0000000000
        52,        52,4,         4,        2.0000000000
        44,        44,4,         4,        2.0000000000
        17,        17,4,         4,        2.0000000000
        42,        42,4,         4,        2.0000000000
        15,        15,4,         4,        2.0000000000
        40,        40,4,         4,        2.0000000000
        13,        13,4,         4,        2.0000000000
         5,         5,4,         4,        2.0000000000
        50,        55,4,         9,       -1.4142135624
        48,        54,4,         9,       -1.2247448714
        47,        53,4,         9,       -1.4142135624
        10,        18,4,         9,        1.4142135624
        49,        54,4,         9,       -0.7071067812
        44,        50,4,         9,       -1.4142135624
        42,        48,4,         9,       -1.2247448714
        40,        47,4,         9,       -1.4142135624
         5,        10,4,         9,        1.4142135624
        42,        49,4,         9,       -0.7071067812
        32,        32,4,         4,        1.0000000000
        31,        31,4,         4,        1.0000000000
        27,        27,4,         4,        1.0000000000
        29,        29,4,         4,        1.0000000000
        28,        28,4,         4,        1.0000000000
        30,        30,4,         4,        1.0000000000
        26,        26,4,         4,        1.0000000000
        25,        25,4,         4,        1.0000000000
        24,        24,4,         4,        1.0000000000
        33,        33,4,         4,        2.0000000000
        22,        22,4,         4,        2.0000000000
        21,        21,4,         4,        2.0000000000
        20,        20,4,         4,        2.0000000000
        19,        19,4,         4,        2.0000000000
